problem_link	num_occur
https://leetcode.com/problems/incremental-memory-leak/	1
https://leetcode.com/problems/backspace-string-compare/	2
https://leetcode.com/problems/best-time-to-buy-and-sell-stock/	2
https://leetcode.com/problems/closest-dessert-cost/	2
https://leetcode.com/problems/continuous-subarray-sum/	2
https://leetcode.com/problems/count-primes/	2
https://leetcode.com/problems/course-schedule-ii/	2
https://leetcode.com/problems/custom-sort-string/	2
https://leetcode.com/problems/frog-jump/	2
https://leetcode.com/problems/group-anagrams/	2
https://leetcode.com/problems/integer-to-roman/	2
https://leetcode.com/problems/jump-game-iv/	2
https://leetcode.com/problems/merge-intervals/	2
https://leetcode.com/problems/merge-k-sorted-lists/	2
https://leetcode.com/problems/minimum-number-of-steps-to-make-two-strings-anagram/	2
https://leetcode.com/problems/move-zeroes/	2
https://leetcode.com/problems/n-queens/	2
https://leetcode.com/problems/odd-even-linked-list/	2
https://leetcode.com/problems/path-with-maximum-gold/	2
https://leetcode.com/problems/russian-doll-envelopes/	2
https://leetcode.com/problems/score-of-parentheses/	2
https://leetcode.com/problems/search-insert-position/	2
https://leetcode.com/problems/surrounded-regions/	2
https://leetcode.com/problems/validate-binary-search-tree/	2
https://leetcode.com/problems/validate-stack-sequences/	2
https://leetcode.com/problems/design-snake-game/	3
https://leetcode.com/problems/intersection-of-two-linked-lists/	3
https://leetcode.com/problems/jump-game-ii/	3
https://leetcode.com/problems/kth-largest-element-in-an-array/	3
https://leetcode.com/problems/kth-missing-positive-number/	3
https://leetcode.com/problems/max-consecutive-ones-ii/	3
https://leetcode.com/problems/minimum-time-to-type-word-using-special-typewriter/	3
https://leetcode.com/problems/palindrome-partitioning/	3
https://leetcode.com/problems/plates-between-candles/	3
https://leetcode.com/problems/restore-ip-addresses/	3
https://leetcode.com/problems/sliding-window-maximum/	3
https://leetcode.com/problems/sudoku-solver/	3
https://leetcode.com/problems/the-number-of-weak-characters-in-the-game/	3
https://leetcode.com/problems/time-based-key-value-store/	3
https://leetcode.com/problems/valid-parentheses/	3
https://leetcode.com/problems/3sum/	4
https://leetcode.com/problems/count-complete-tree-nodes/	4
https://leetcode.com/problems/evaluate-division/	4
https://leetcode.com/problems/find-k-closest-elements/	4
https://leetcode.com/problems/path-sum-iii/	4
https://leetcode.com/problems/search-in-rotated-sorted-array/	4
https://leetcode.com/problems/serialize-and-deserialize-binary-tree/	4
https://leetcode.com/problems/asteroid-collision/	5
https://leetcode.com/problems/decode-string/	5
https://leetcode.com/problems/gas-station/	5
https://leetcode.com/problems/roman-to-integer	5
https://leetcode.com/problems/subarray-sum-equals-k/	5
https://leetcode.com/problems/walls-and-gates/	5
https://leetcode.com/problems/binary-tree-maximum-path-sum/	6
https://leetcode.com/problems/lru-cache/	6
https://leetcode.com/problems/number-of-islands/	6
https://leetcode.com/problems/spiral-matrix-ii/	6
https://leetcode.com/problems/split-array-largest-sum/	6
https://leetcode.com/problems/course-schedule/	7
https://leetcode.com/problems/maximum-swap/	8
https://leetcode.com/problems/reformat-date/	10
https://leetcode.com/problems/design-a-stack-with-increment-operation/	13
